time,geo_value,geo_type,covid,Season,flu,rsv
2025-11-15,Central,OH Region,47,2025-2026,17,4
2025-11-15,East,OH Region,29,2025-2026,3,6
2025-11-15,North East,OH Region,15,2025-2026,4,1
2025-11-15,North West,OH Region,1,2025-2026,0,0
2025-11-15,Ontario,Province,183,2025-2026,64,18
2025-11-15,Toronto,OH Region,44,2025-2026,12,5
2025-11-15,West,OH Region,46,2025-2026,26,3
2025-11-08,Central,OH Region,46,2025-2026,14,2
2025-11-08,East,OH Region,17,2025-2026,1,2
2025-11-08,North East,OH Region,9,2025-2026,0,2
2025-11-08,North West,OH Region,2,2025-2026,1,0
2025-11-08,Ontario,Province,166,2025-2026,38,10
2025-11-08,Toronto,OH Region,44,2025-2026,9,1
2025-11-08,West,OH Region,52,2025-2026,11,2
2025-11-01,Central,OH Region,29,2025-2026,6,0
2025-11-01,East,OH Region,12,2025-2026,1,2
2025-11-01,North East,OH Region,13,2025-2026,0,1
2025-11-01,North West,OH Region,2,2025-2026,0,0
2025-11-01,Ontario,Province,139,2025-2026,18,6
2025-11-01,Toronto,OH Region,30,2025-2026,3,1
2025-11-01,West,OH Region,51,2025-2026,6,1
2025-10-25,Central,OH Region,33,2025-2026,3,2
2025-10-25,East,OH Region,22,2025-2026,1,0
2025-10-25,North East,OH Region,12,2025-2026,0,1
2025-10-25,North West,OH Region,1,2025-2026,0,0
2025-10-25,Ontario,Province,155,2025-2026,12,7
2025-10-25,Toronto,OH Region,28,2025-2026,4,4
2025-10-25,West,OH Region,60,2025-2026,2,0
2025-10-18,Central,OH Region,39,2025-2026,4,2
2025-10-18,East,OH Region,32,2025-2026,0,1
2025-10-18,North East,OH Region,6,2025-2026,0,1
2025-10-18,North West,OH Region,1,2025-2026,0,0
2025-10-18,Ontario,Province,178,2025-2026,8,9
2025-10-18,Toronto,OH Region,43,2025-2026,2,3
2025-10-18,West,OH Region,54,2025-2026,1,2
2025-10-11,Central,OH Region,45,2025-2026,3,3
2025-10-11,East,OH Region,46,2025-2026,0,0
2025-10-11,North East,OH Region,7,2025-2026,0,0
2025-10-11,North West,OH Region,2,2025-2026,0,0
2025-10-11,Ontario,Province,218,2025-2026,6,5
2025-10-11,Toronto,OH Region,58,2025-2026,1,1
2025-10-11,West,OH Region,57,2025-2026,1,0
2025-10-04,Central,OH Region,55,2025-2026,1,2
2025-10-04,East,OH Region,60,2025-2026,0,0
2025-10-04,North East,OH Region,10,2025-2026,0,0
2025-10-04,North West,OH Region,3,2025-2026,0,0
2025-10-04,Ontario,Province,251,2025-2026,2,3
2025-10-04,Toronto,OH Region,47,2025-2026,0,0
2025-10-04,West,OH Region,71,2025-2026,0,0
2025-09-27,Central,OH Region,71,2025-2026,1,0
2025-09-27,East,OH Region,45,2025-2026,1,1
2025-09-27,North East,OH Region,10,2025-2026,0,0
2025-09-27,North West,OH Region,1,2025-2026,0,0
2025-09-27,Ontario,Province,266,2025-2026,3,4
2025-09-27,Toronto,OH Region,63,2025-2026,0,1
2025-09-27,West,OH Region,69,2025-2026,1,1
2025-09-20,Central,OH Region,71,2025-2026,1,1
2025-09-20,East,OH Region,43,2025-2026,0,1
2025-09-20,North East,OH Region,8,2025-2026,0,0
2025-09-20,North West,OH Region,1,2025-2026,0,0
2025-09-20,Ontario,Province,267,2025-2026,4,6
2025-09-20,Toronto,OH Region,75,2025-2026,1,2
