time,geo_value,geo_type,covid
2020-08-22,Central,OH Region,13
2020-08-22,East,OH Region,8
2020-08-22,North East,OH Region,1
2020-08-22,North West,OH Region,0
2020-08-22,Ontario,Province,39
2020-08-22,Toronto,OH Region,6
2020-08-22,West,OH Region,12
2020-08-15,Central,OH Region,14
2020-08-15,East,OH Region,8
2020-08-15,North East,OH Region,1
2020-08-15,North West,OH Region,0
2020-08-15,Ontario,Province,43
2020-08-15,Toronto,OH Region,6
2020-08-15,West,OH Region,10
2020-08-08,Central,OH Region,17
2020-08-08,East,OH Region,11
2020-08-08,North East,OH Region,1
2020-08-08,North West,OH Region,0
2020-08-08,Ontario,Province,63
2020-08-08,Toronto,OH Region,17
2020-08-08,West,OH Region,16
2020-08-01,Central,OH Region,18
2020-08-01,East,OH Region,12
2020-08-01,North East,OH Region,2
2020-08-01,North West,OH Region,0
2020-08-01,Ontario,Province,83
2020-08-01,Toronto,OH Region,31
2020-08-01,West,OH Region,21
2020-07-25,Central,OH Region,25
2020-07-25,East,OH Region,10
2020-07-25,North East,OH Region,0
2020-07-25,North West,OH Region,1
2020-07-25,Ontario,Province,117
2020-07-25,Toronto,OH Region,61
2020-07-25,West,OH Region,21
2020-07-18,Central,OH Region,27
2020-07-18,East,OH Region,7
2020-07-18,North East,OH Region,0
2020-07-18,North West,OH Region,1
2020-07-18,Ontario,Province,113
2020-07-18,Toronto,OH Region,62
2020-07-18,West,OH Region,15
2020-07-11,Central,OH Region,31
2020-07-11,East,OH Region,5
2020-07-11,North East,OH Region,0
2020-07-11,North West,OH Region,2
2020-07-11,Ontario,Province,125
2020-07-11,Toronto,OH Region,68
2020-07-11,West,OH Region,18
2020-07-04,Central,OH Region,44
2020-07-04,East,OH Region,8
2020-07-04,North East,OH Region,0
2020-07-04,North West,OH Region,2
2020-07-04,Ontario,Province,165
2020-07-04,Toronto,OH Region,82
2020-07-04,West,OH Region,29
2020-06-27,Central,OH Region,68
2020-06-27,East,OH Region,11
2020-06-27,North East,OH Region,1
2020-06-27,North West,OH Region,4
2020-06-27,Ontario,Province,258
2020-06-27,Toronto,OH Region,135
2020-06-27,West,OH Region,38
2020-06-20,Central,OH Region,84
2020-06-20,East,OH Region,31
2020-06-20,North East,OH Region,1
2020-06-20,North West,OH Region,3
2020-06-20,Ontario,Province,340
2020-06-20,Toronto,OH Region,175
2020-06-20,West,OH Region,45
2020-06-13,Central,OH Region,125
2020-06-13,East,OH Region,53
2020-06-13,North East,OH Region,1
2020-06-13,North West,OH Region,2
2020-06-13,Ontario,Province,512
2020-06-13,Toronto,OH Region,251
2020-06-13,West,OH Region,77
2020-06-06,Central,OH Region,178
2020-06-06,East,OH Region,75
2020-06-06,North East,OH Region,2
2020-06-06,North West,OH Region,2
2020-06-06,Ontario,Province,720
2020-06-06,Toronto,OH Region,344
2020-06-06,West,OH Region,120
2020-05-30,Central,OH Region,190
2020-05-30,East,OH Region,81
2020-05-30,North East,OH Region,3
