location,horizon,reference_date,target_end_date,target,output_type,output_type_id,value
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.025,112
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.1,121
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.25,131
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.5,138
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.75,161
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.9,197
Central,-1,02-11-2024,26-10-2024,wk inc covid hosp,quantile,0.975,197
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.025,115
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.1,124
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.25,132
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.5,144
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.75,158
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.9,158
Central,-1,23-11-2024,16-11-2024,wk inc covid hosp,quantile,0.975,184
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.025,0
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.1,0
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.25,3
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.5,4
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.75,4
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.9,15
Central,-1,23-11-2024,16-11-2024,wk inc flu hosp,quantile,0.975,15
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.025,1
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.1,4
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.25,5
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.5,5
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.75,6
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.9,8
Central,-1,23-11-2024,16-11-2024,wk inc rsv hosp,quantile,0.975,8
Central,-1,30-11-2024,23-11-2024,wk inc covid hosp,quantile,0.025,62.33333333
Central,-1,30-11-2024,23-11-2024,wk inc covid hosp,quantile,0.1,80
Central,-1,30-11-2024,23-11-2024,wk inc covid hosp,quantile,0.25,100.3333333
Central,-1,30-11-2024,23-11-2024,wk inc covid hosp,quantile,0.5,130.3333333
