location,horizon,reference_date,target_end_date,target,output_type,output_type_id,value
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.025,99
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.1,114.6666667
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.25,150.3333333
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.5,215
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.75,281.6666667
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.9,319.3333333
Central,-1,11-01-2025,04-01-2025,wk inc covid hosp,quantile,0.975,343.6666667
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.025,50.66666667
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.1,58.66666667
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.25,70.66666667
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.5,90.33333333
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.75,110
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.9,127.6666667
Central,-1,11-01-2025,04-01-2025,wk inc flu hosp,quantile,0.975,137.3333333
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.025,35.33333333
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.1,39.66666667
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.25,46.33333333
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.5,59.66666667
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.75,73
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.9,84.66666667
Central,-1,11-01-2025,04-01-2025,wk inc rsv hosp,quantile,0.975,89.66666667
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.025,94.66666667
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.1,129.6666667
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.25,169.6666667
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.5,237.6666667
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.75,310
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.9,363
Central,0,11-01-2025,11-01-2025,wk inc covid hosp,quantile,0.975,429
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.025,51
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.1,67.66666667
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.25,87
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.5,114.6666667
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.75,146.3333333
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.9,171.6666667
Central,0,11-01-2025,11-01-2025,wk inc flu hosp,quantile,0.975,200.3333333
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.025,32
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.1,38.33333333
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.25,47.66666667
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.5,63
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.75,78.66666667
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.9,93
Central,0,11-01-2025,11-01-2025,wk inc rsv hosp,quantile,0.975,104.3333333
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.025,105.3333333
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.1,137.6666667
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.25,180.6666667
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.5,257
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.75,337.6666667
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.9,406.6666667
Central,1,11-01-2025,18-01-2025,wk inc covid hosp,quantile,0.975,498.6666667
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.025,42.66666667
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.1,79
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.25,105.6666667
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.5,145.3333333
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.75,192.3333333
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.9,238.3333333
Central,1,11-01-2025,18-01-2025,wk inc flu hosp,quantile,0.975,312.6666667
Central,1,11-01-2025,18-01-2025,wk inc rsv hosp,quantile,0.025,33
Central,1,11-01-2025,18-01-2025,wk inc rsv hosp,quantile,0.1,42.66666667
