"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.025,39.3333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.1,48.6666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.25,57
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.5,93.3333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.75,168
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.9,208
"Central",-1,"2025-03-01","2025-02-22","wk inc covid hosp","quantile",0.975,232
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.025,69.6666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.1,79.6666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.25,96.3333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.5,123
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.75,151.666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.9,171.333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc flu hosp","quantile",0.975,189.666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.025,7.33333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.1,10
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.25,14.3333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.5,24
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.75,32.6666666666667
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.9,39.3333333333333
"Central",-1,"2025-03-01","2025-02-22","wk inc rsv hosp","quantile",0.975,43.6666666666667
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.025,30.2371168756391
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.1,43.6403760658396
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.25,55.6117544685608
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.5,84.9564541982577
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.75,148.481413242286
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.9,189.160074814438
"Central",0,"2025-03-01","2025-03-01","wk inc covid hosp","quantile",0.975,230.213185048424
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.025,56.3424610665847
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.1,70.7106725732435
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.25,87.0696133401334
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.5,114.75764788013
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.75,139.181578362946
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.9,174.26748776583
"Central",0,"2025-03-01","2025-03-01","wk inc flu hosp","quantile",0.975,190.960259243613
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.025,7.37062154144881
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.1,10.5930963416357
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.25,13.7171112348046
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.5,21.4433824916644
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.75,30.1951557108314
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.9,35.5713662979601
"Central",0,"2025-03-01","2025-03-01","wk inc rsv hosp","quantile",0.975,50.5761489049682
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.025,23.8607416459402
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.1,39.3813127865457
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.25,52.1952609095974
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.5,82.3569934723765
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.75,148.768629251529
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.9,192.838936701415
"Central",1,"2025-03-01","2025-03-08","wk inc covid hosp","quantile",0.975,245.872862792879
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.025,44.2992122910996
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.1,59.2742971420897
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.25,77.0840267080844
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.5,107.551231276836
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.75,141.977917490138
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.9,174.591687992691
"Central",1,"2025-03-01","2025-03-08","wk inc flu hosp","quantile",0.975,201.788018551209
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.025,6.66831467874144
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.1,8.92637294687641
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.25,12.1118549592892
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.5,18.5511036820653
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.75,27.2693275409969
"Central",1,"2025-03-01","2025-03-08","wk inc rsv hosp","quantile",0.9,35.4310566710299
