"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.025,49.75
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.1,61.25
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.25,67.75
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.5,71.5
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.75,75
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.9,81.25
"Central","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.975,95.75
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.025,0.5
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.1,0.5
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.25,0.5
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.5,1
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.75,2
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.9,3.75
"Central","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.975,9.5
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.025,0
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.1,0
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.25,0
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.5,0
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.75,0.5
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.9,1.75
"Central","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.975,4.25
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.025,7
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.1,38
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.25,60.5
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.5,72.75
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.75,85
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.9,108
"Central","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.975,162.5
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.025,0
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.1,0
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.25,0
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.5,1.5
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.75,4.5
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.9,11
"Central","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.975,28.75
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.025,0
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.1,0
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.25,0
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.5,0.5
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.75,2.5
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.9,6
"Central","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.975,16.25
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.025,3
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.1,21.5
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.25,59.25
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.5,79
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.75,98.5
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.9,137.25
"Central","2025-10-18","2025-10-04","wk inc covid hosp",2,"quantile",0.975,236.25
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.025,0
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.1,0
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.25,0
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.5,2.25
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.75,7
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.9,16.75
"Central","2025-10-18","2025-10-04","wk inc flu hosp",2,"quantile",0.975,44.75
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.025,0
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.1,0
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.25,0
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.5,1
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.75,4
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.9,9.25
"Central","2025-10-18","2025-10-04","wk inc rsv hosp",2,"quantile",0.975,26
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.025,0
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.1,18
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.25,53.25
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.5,80.25
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.75,107.25
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.9,158
"Central","2025-10-25","2025-10-04","wk inc covid hosp",3,"quantile",0.975,302.5
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.025,0
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.1,0
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.25,0
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.5,3.25
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.75,9.75
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.9,22.5
"Central","2025-10-25","2025-10-04","wk inc flu hosp",3,"quantile",0.975,61
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.025,0
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.1,0
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.25,0
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.5,1.5
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.75,5.75
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.9,12.5
"Central","2025-10-25","2025-10-04","wk inc rsv hosp",3,"quantile",0.975,33.75
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.025,31.25
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.1,39.25
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.25,44.25
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.5,47
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.75,49.5
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.9,54.75
"East","2025-10-04","2025-10-04","wk inc covid hosp",0,"quantile",0.975,66.5
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.025,0.5
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.1,0.5
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.25,0.5
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.5,1
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.75,1.75
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.9,3.25
"East","2025-10-04","2025-10-04","wk inc flu hosp",0,"quantile",0.975,8.5
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.025,0.25
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.1,0.25
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.25,0.25
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.5,1
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.75,1.5
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.9,2.25
"East","2025-10-04","2025-10-04","wk inc rsv hosp",0,"quantile",0.975,5
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.025,0
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.1,16
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.25,37
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.5,47.75
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.75,58.5
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.9,80.25
"East","2025-10-11","2025-10-04","wk inc covid hosp",1,"quantile",0.975,131
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.025,0
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.1,0
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.25,0.25
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.5,2
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.75,4.5
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.9,10.5
"East","2025-10-11","2025-10-04","wk inc flu hosp",1,"quantile",0.975,28.5
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.025,0
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.1,0
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.25,0
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.5,1.25
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.75,3.5
"East","2025-10-11","2025-10-04","wk inc rsv hosp",1,"quantile",0.9,6.75
