"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-03-14,"0.025",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.1",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.25",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.5",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.75",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.9",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-14,"0.975",46,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.025",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.1",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.25",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.5",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.75",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.9",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"East",2026-03-14,"0.975",73,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.025",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.1",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.25",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.5",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.75",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.9",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North East",2026-03-14,"0.975",10,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.025",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.1",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.25",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.5",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.75",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.9",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"North West",2026-03-14,"0.975",3,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.025",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.1",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.25",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.5",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.75",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.9",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Ontario",2026-03-14,"0.975",293,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.025",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.1",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.25",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.5",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.75",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.9",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"Toronto",2026-03-14,"0.975",66,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.025",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.1",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.25",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.5",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.75",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.9",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"West",2026-03-14,"0.975",93,2026-03-14,"wk inc covid hosp",0,"quantile"
"Central",2026-03-21,"0.025",0,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.1",12,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.25",37,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.5",46,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.75",55,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.9",80,2026-03-14,"wk inc covid hosp",1,"quantile"
"Central",2026-03-21,"0.975",151,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.025",0,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.1",39,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.25",64,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.5",73,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.75",82,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.9",107,2026-03-14,"wk inc covid hosp",1,"quantile"
"East",2026-03-21,"0.975",178,2026-03-14,"wk inc covid hosp",1,"quantile"
"North East",2026-03-21,"0.025",0,2026-03-14,"wk inc covid hosp",1,"quantile"
"North East",2026-03-21,"0.1",0,2026-03-14,"wk inc covid hosp",1,"quantile"
"North East",2026-03-21,"0.25",1,2026-03-14,"wk inc covid hosp",1,"quantile"
"North East",2026-03-21,"0.5",10,2026-03-14,"wk inc covid hosp",1,"quantile"
