reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.025,0
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.1,0
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.25,17
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.5,54
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.75,94
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.9,128
2025-03-22,wk inc covid hosp,0,2025-03-22,Central,quantile,0.975,163
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.025,0
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.1,0
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.25,33
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.5,67
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.75,104
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.9,146
2025-03-22,wk inc covid hosp,1,2025-03-29,Central,quantile,0.975,181
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.025,25
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.1,60
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.25,94
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.5,131
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.75,169
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.9,204
2025-03-22,wk inc covid hosp,2,2025-04-05,Central,quantile,0.975,245
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.025,83
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.1,117
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.25,153
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.5,193
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.75,232
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.9,264
2025-03-22,wk inc covid hosp,3,2025-04-12,Central,quantile,0.975,300
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.025,28
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.1,43
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.25,58
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.5,74
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.75,88
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.9,103
2025-03-22,wk inc flu hosp,0,2025-03-22,Central,quantile,0.975,119
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.025,17
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.1,33
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.25,47
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.5,64
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.75,80
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.9,93
2025-03-22,wk inc flu hosp,1,2025-03-29,Central,quantile,0.975,111
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.025,7
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.1,22
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.25,37
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.5,52
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.75,69
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.9,83
2025-03-22,wk inc flu hosp,2,2025-04-05,Central,quantile,0.975,97
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.025,0
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.1,10
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.25,26
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.5,41
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.75,58
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.9,75
2025-03-22,wk inc flu hosp,3,2025-04-12,Central,quantile,0.975,90
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.025,0
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.1,0
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.25,0
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.5,12
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.75,27
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.9,39
2025-03-22,wk inc rsv hosp,0,2025-03-22,Central,quantile,0.975,51
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.025,0
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.1,0
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.25,0
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.5,14
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.75,28
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.9,41
2025-03-22,wk inc rsv hosp,1,2025-03-29,Central,quantile,0.975,56
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.025,0
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.1,0
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.25,0
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.5,13
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.75,26
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.9,38
2025-03-22,wk inc rsv hosp,2,2025-04-05,Central,quantile,0.975,51
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.025,0
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.1,0
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.25,0
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.5,9
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.75,23
2025-03-22,wk inc rsv hosp,3,2025-04-12,Central,quantile,0.9,34
