"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2025-12-06,"0.025",44,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.1",44,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.25",44,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.5",44,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.75",45,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.9",45,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-06,"0.975",45,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.025",40,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.1",40,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.25",40,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.5",40,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.75",41,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.9",41,2025-12-06,"wk inc covid hosp",0,"quantile"
"East",2025-12-06,"0.975",41,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.025",15,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.1",15,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.25",15,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.5",15,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.75",16,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.9",16,2025-12-06,"wk inc covid hosp",0,"quantile"
"North East",2025-12-06,"0.975",16,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.025",3,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.1",3,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.25",3,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.5",3,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.75",4,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.9",4,2025-12-06,"wk inc covid hosp",0,"quantile"
"North West",2025-12-06,"0.975",4,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.025",268,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.1",268,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.25",268,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.5",269,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.75",269,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.9",269,2025-12-06,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-06,"0.975",269,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.025",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.1",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.25",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.5",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.75",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.9",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-06,"0.975",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.025",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.1",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.25",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.5",80,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.75",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.9",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"West",2025-12-06,"0.975",81,2025-12-06,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.025",0,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.1",28,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.25",47,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.5",58,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.75",68,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.9",88,2025-12-06,"wk inc covid hosp",1,"quantile"
"Central",2025-12-13,"0.975",130,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.025",0,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.1",21,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.25",41,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.5",51,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.75",62,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.9",82,2025-12-06,"wk inc covid hosp",1,"quantile"
"East",2025-12-13,"0.975",124,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.025",0,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.1",0,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.25",3,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.5",14,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.75",25,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.9",44,2025-12-06,"wk inc covid hosp",1,"quantile"
"North East",2025-12-13,"0.975",87,2025-12-06,"wk inc covid hosp",1,"quantile"
"North West",2025-12-13,"0.025",0,2025-12-06,"wk inc covid hosp",1,"quantile"
"North West",2025-12-13,"0.1",0,2025-12-06,"wk inc covid hosp",1,"quantile"
