"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.025",42,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.1",93,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.25",117,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.5",133,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.75",149,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.9",173,"quantile"
"Central",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.975",224,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.025",6,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.1",67,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.25",103,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.5",133,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.75",163,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.9",200,"quantile"
"Central",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.975",270,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.025",0,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.1",48,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.25",93,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.5",133,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.75",172,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.9",218,"quantile"
"Central",2,2024-12-21,2025-01-04,"wk inc covid hosp","0.975",311,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.025",0,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.1",32,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.25",85,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.5",133,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.75",181,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.9",236,"quantile"
"Central",3,2024-12-21,2025-01-11,"wk inc covid hosp","0.975",335,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.025",89,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.1",120,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.25",140,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.5",152,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.75",164,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.9",184,"quantile"
"East",0,2024-12-21,2024-12-21,"wk inc covid hosp","0.975",215,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.025",59,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.1",102,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.25",130,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.5",152,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.75",174,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.9",202,"quantile"
"East",1,2024-12-21,2024-12-28,"wk inc covid hosp","0.975",245,"quantile"
