"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.025",51,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.1",100,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.25",124,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.5",140,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.75",156,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.9",180,"quantile"
"Central",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.975",229,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.025",12,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.1",73,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.25",110,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.5",140,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.75",170,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.9",207,"quantile"
"Central",1,2025-02-01,2025-02-08,"wk inc covid hosp","0.975",276,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.025",0,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.1",55,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.25",100,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.5",140,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.75",180,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.9",226,"quantile"
"Central",2,2025-02-01,2025-02-15,"wk inc covid hosp","0.975",313,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.025",0,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.1",39,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.25",92,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.5",140,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.75",189,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.9",242,"quantile"
"Central",3,2025-02-01,2025-02-22,"wk inc covid hosp","0.975",340,"quantile"
"East",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.025",70,"quantile"
"East",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.1",102,"quantile"
"East",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.25",123,"quantile"
"East",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.5",135,"quantile"
"East",0,2025-02-01,2025-02-01,"wk inc covid hosp","0.75",147,"quantile"
