"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-02-28,"0.025",0,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.1",31,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.25",54,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.5",66,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.75",78,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.9",101,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-02-28,"0.975",147,2026-02-28,"wk inc covid hosp",0,"quantile"
"Central",2026-03-07,"0.025",0,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.1",13,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.25",43,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.5",66,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.75",89,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.9",121,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-07,"0.975",178,2026-02-28,"wk inc covid hosp",1,"quantile"
"Central",2026-03-14,"0.025",0,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.1",0,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.25",35,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.5",66,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.75",98,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.9",139,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-14,"0.975",216,2026-02-28,"wk inc covid hosp",2,"quantile"
"Central",2026-03-21,"0.025",0,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.1",0,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.25",28,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.5",66,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.75",105,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.9",152,2026-02-28,"wk inc covid hosp",3,"quantile"
"Central",2026-03-21,"0.975",242,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-02-28,"0.025",21,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.1",58,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.25",73,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.5",83,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.75",93,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.9",108,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-02-28,"0.975",145,2026-02-28,"wk inc covid hosp",0,"quantile"
"East",2026-03-07,"0.025",1,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.1",38,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.25",65,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.5",83,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.75",101,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.9",128,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-07,"0.975",170,2026-02-28,"wk inc covid hosp",1,"quantile"
"East",2026-03-14,"0.025",0,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.1",27,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.25",58,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.5",83,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.75",108,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.9",140,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-14,"0.975",191,2026-02-28,"wk inc covid hosp",2,"quantile"
"East",2026-03-21,"0.025",0,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.1",17,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.25",52,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.5",83,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.75",114,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.9",150,2026-02-28,"wk inc covid hosp",3,"quantile"
"East",2026-03-21,"0.975",211,2026-02-28,"wk inc covid hosp",3,"quantile"
"North East",2026-02-28,"0.025",0,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.1",11,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.25",18,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.5",22,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.75",26,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.9",33,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-02-28,"0.975",47,2026-02-28,"wk inc covid hosp",0,"quantile"
"North East",2026-03-07,"0.025",0,2026-02-28,"wk inc covid hosp",1,"quantile"
"North East",2026-03-07,"0.1",5,2026-02-28,"wk inc covid hosp",1,"quantile"
"North East",2026-03-07,"0.25",15,2026-02-28,"wk inc covid hosp",1,"quantile"
"North East",2026-03-07,"0.5",22,2026-02-28,"wk inc covid hosp",1,"quantile"
"North East",2026-03-07,"0.75",29,2026-02-28,"wk inc covid hosp",1,"quantile"
