"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2025-12-13,"0.025",44,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.1",54,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.25",57,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.5",58,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.75",59,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.9",62,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-13,"0.975",72,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.025",42,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.1",53,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.25",55,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.5",56,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.75",57,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.9",60,2025-12-13,"wk inc covid hosp",0,"quantile"
"East",2025-12-13,"0.975",71,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.025",0,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.1",9,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.25",12,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.5",13,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.75",14,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.9",16,2025-12-13,"wk inc covid hosp",0,"quantile"
"North East",2025-12-13,"0.975",27,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.025",0,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.1",0,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.25",2,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.5",3,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.75",4,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.9",6,2025-12-13,"wk inc covid hosp",0,"quantile"
"North West",2025-12-13,"0.975",17,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.025",288,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.1",299,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.25",301,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.5",302,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.75",304,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.9",306,2025-12-13,"wk inc covid hosp",0,"quantile"
"Ontario",2025-12-13,"0.975",317,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.025",45,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.1",56,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.25",58,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.5",59,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.75",61,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.9",63,2025-12-13,"wk inc covid hosp",0,"quantile"
"Toronto",2025-12-13,"0.975",74,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.025",95,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.1",106,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.25",108,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.5",109,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.75",110,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.9",113,2025-12-13,"wk inc covid hosp",0,"quantile"
"West",2025-12-13,"0.975",124,2025-12-13,"wk inc covid hosp",0,"quantile"
"Central",2025-12-20,"0.025",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.1",37,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.25",49,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.5",54,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.75",59,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.9",70,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-20,"0.975",108,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.025",1,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.1",39,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.25",50,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.5",55,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.75",60,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.9",71,2025-12-13,"wk inc covid hosp",1,"quantile"
"East",2025-12-20,"0.975",109,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.025",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.1",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.25",9,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.5",14,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.75",19,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.9",30,2025-12-13,"wk inc covid hosp",1,"quantile"
"North East",2025-12-20,"0.975",68,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.025",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.1",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.25",0,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.5",2,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.75",7,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.9",18,2025-12-13,"wk inc covid hosp",1,"quantile"
"North West",2025-12-20,"0.975",57,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.025",256,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.1",295,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.25",306,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.5",311,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.75",316,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.9",327,2025-12-13,"wk inc covid hosp",1,"quantile"
"Ontario",2025-12-20,"0.975",365,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.025",3,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.1",41,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.25",52,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.5",57,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.75",62,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.9",74,2025-12-13,"wk inc covid hosp",1,"quantile"
"Toronto",2025-12-20,"0.975",112,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.025",53,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.1",91,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.25",102,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.5",108,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.75",113,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.9",124,2025-12-13,"wk inc covid hosp",1,"quantile"
"West",2025-12-20,"0.975",162,2025-12-13,"wk inc covid hosp",1,"quantile"
"Central",2025-12-27,"0.025",0,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.1",31,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.25",52,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.5",61,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.75",70,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.9",91,2025-12-13,"wk inc covid hosp",2,"quantile"
"Central",2025-12-27,"0.975",165,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.025",0,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.1",38,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.25",59,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.5",68,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.75",77,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.9",98,2025-12-13,"wk inc covid hosp",2,"quantile"
"East",2025-12-27,"0.975",171,2025-12-13,"wk inc covid hosp",2,"quantile"
"North East",2025-12-27,"0.025",0,2025-12-13,"wk inc covid hosp",2,"quantile"
"North East",2025-12-27,"0.1",0,2025-12-13,"wk inc covid hosp",2,"quantile"
"North East",2025-12-27,"0.25",5,2025-12-13,"wk inc covid hosp",2,"quantile"
