"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.025,85.523079536958
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.1,104.283213977147
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.25,126.678314746116
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.5,163.062757252681
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.75,203.458233220445
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.9,229.683551744809
"Central",-1,"2025-02-01","2025-01-25","wk inc covid hosp","quantile",0.975,254.650269986843
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.025,67.2354139885761
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.1,77.8479794510598
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.25,90.7190338812414
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.5,115.981487906746
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.75,138.114808763036
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.9,151.365930413312
"Central",-1,"2025-02-01","2025-01-25","wk inc flu hosp","quantile",0.975,164.107629045011
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.025,24.1178770787511
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.1,30.5053116162674
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.25,37.7157079063909
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.5,50.5498144348296
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.75,65.826704181148
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.9,71.7898675940383
"Central",-1,"2025-02-01","2025-01-25","wk inc rsv hosp","quantile",0.975,78.8046022288822
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.025,41.4018064236189
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.1,66.1468310301689
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.25,83.8402844147653
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.5,130.361039808571
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.75,181.387405732674
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.9,220.247280357155
"Central",0,"2025-02-01","2025-02-01","wk inc covid hosp","quantile",0.975,292.641531863955
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.025,27.6565117078803
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.1,47.183884021518
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.25,70.9108830482425
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.5,105.298727814422
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.75,138.686572580602
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.9,165.716153164923
"Central",0,"2025-02-01","2025-02-01","wk inc flu hosp","quantile",0.975,200.878234148206
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.025,11.9187018492236
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.1,15.5607365813951
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.25,26.7636892693322
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.5,46.4205699509807
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.75,68.092185267473
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.9,82.5164914219679
"Central",0,"2025-02-01","2025-02-01","wk inc rsv hosp","quantile",0.975,105.685974752541
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.025,36.0697555963346
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.1,42.9700566669378
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.25,62.8221887752021
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.5,100.773943528099
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.75,162.180189072899
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.9,217.81104399937
"Central",1,"2025-02-01","2025-02-08","wk inc covid hosp","quantile",0.975,321.127399615008
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.025,20.0736031144819
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.1,24.4647037957748
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.25,51.2431977596885
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.5,98.8226628385766
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.75,141.546107036158
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.9,180.48690461262
"Central",1,"2025-02-01","2025-02-08","wk inc flu hosp","quantile",0.975,228.276056838938
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.025,9.72315150857716
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.1,11.9187018492236
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.25,15.6567343371466
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.5,45.3430080037184
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.75,74.5421832332459
"Central",1,"2025-02-01","2025-02-08","wk inc rsv hosp","quantile",0.9,95.855680712381
