reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.025,19
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.1,30
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.25,38
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.5,46
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.75,54
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.9,63
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.975,73
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.1,13
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.25,26
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.5,39
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.75,50
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.9,61
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.975,79
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.1,13
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.25,26
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.5,37
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.75,51
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.9,66
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.975,90
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.025,10
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.1,22
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.25,30
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.5,40
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.75,55
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.9,74
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.975,116
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.1,17
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.25,28
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.5,39
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.75,55
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.9,79
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.975,134
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.025,6
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.1,16
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.25,22
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.5,30
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.75,36
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.9,44
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.975,51
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.1,5
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.25,14
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.5,21
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.75,30
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.9,39
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.975,52
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.1,3
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.25,12
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.5,20
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.75,30
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.9,40
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.975,57
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.1,5
