reference_date,target,horizon,taplerget_end_date,location,output_type,output_type_id,value
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.025,24
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.1,34
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.25,39
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.5,46
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.75,53
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.9,59
2026-03-14,wk inc covid hosp,-1,2026-03-07,Central,quantile,0.975,66
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.025,21
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.1,35
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.25,47
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.5,57
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.75,68
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.9,79
2026-03-14,wk inc covid hosp,0,2026-03-14,Central,quantile,0.975,92
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.025,17
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.1,37
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.25,49
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.5,60
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.75,71
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.9,82
2026-03-14,wk inc covid hosp,1,2026-03-21,Central,quantile,0.975,99
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.025,2
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.1,32
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.25,44
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.5,52
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.75,61
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.9,70
2026-03-14,wk inc covid hosp,2,2026-03-28,Central,quantile,0.975,84
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.025,0
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.1,27
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.25,41
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.5,51
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.75,60
2026-03-14,wk inc covid hosp,3,2026-04-04,Central,quantile,0.9,72
