reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.025,19
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.1,31
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.25,39
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.5,47
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.75,55
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.9,64
2025-11-22,wk inc covid hosp,-1,2025-11-15,Central,quantile,0.975,75
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.1,15
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.25,30
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.5,46
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.75,59
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.9,72
2025-11-22,wk inc covid hosp,0,2025-11-22,Central,quantile,0.975,93
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.1,15
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.25,30
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.5,43
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.75,59
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.9,76
2025-11-22,wk inc covid hosp,1,2025-11-29,Central,quantile,0.975,104
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.025,12
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.1,26
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.25,35
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.5,47
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.75,65
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.9,87
2025-11-22,wk inc covid hosp,2,2025-12-06,Central,quantile,0.975,136
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.025,0
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.1,19
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.25,31
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.5,43
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.75,61
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.9,87
2025-11-22,wk inc covid hosp,3,2025-12-13,Central,quantile,0.975,148
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.025,6
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.1,15
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.25,21
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.5,29
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.75,35
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.9,43
2025-11-22,wk inc covid hosp,-1,2025-11-15,East,quantile,0.975,49
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.1,7
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.25,19
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.5,29
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.75,41
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.9,54
2025-11-22,wk inc covid hosp,0,2025-11-22,East,quantile,0.975,72
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.1,4
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.25,15
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.5,25
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.75,38
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.9,50
2025-11-22,wk inc covid hosp,1,2025-11-29,East,quantile,0.975,72
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.1,7
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.25,18
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.5,28
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.75,41
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.9,59
2025-11-22,wk inc covid hosp,2,2025-12-06,East,quantile,0.975,93
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.025,0
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.1,7
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.25,18
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.5,27
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.75,39
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.9,60
2025-11-22,wk inc covid hosp,3,2025-12-13,East,quantile,0.975,104
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.025,7
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.1,10
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.25,12
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.5,15
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.75,18
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.9,20
2025-11-22,wk inc covid hosp,-1,2025-11-15,North East,quantile,0.975,23
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.025,5
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.1,9
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.25,12
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.5,15
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.75,19
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.9,23
2025-11-22,wk inc covid hosp,0,2025-11-22,North East,quantile,0.975,30
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.025,1
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.1,6
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.25,8
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.5,12
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.75,15
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.9,19
2025-11-22,wk inc covid hosp,1,2025-11-29,North East,quantile,0.975,27
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.025,0
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.1,4
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.25,9
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.5,12
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.75,17
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.9,23
2025-11-22,wk inc covid hosp,2,2025-12-06,North East,quantile,0.975,35
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.025,3
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.1,7
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.25,9
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.5,12
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.75,17
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.9,23
2025-11-22,wk inc covid hosp,3,2025-12-13,North East,quantile,0.975,41
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.025,1
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.1,1
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.25,1
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.5,2
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.75,3
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.9,4
2025-11-22,wk inc covid hosp,-1,2025-11-15,North West,quantile,0.975,4
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.025,1
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.1,1
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.25,1
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.5,2
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.75,3
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.9,4
2025-11-22,wk inc covid hosp,0,2025-11-22,North West,quantile,0.975,5
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.025,1
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.1,1
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.25,2
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.5,2
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.75,3
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.9,4
2025-11-22,wk inc covid hosp,1,2025-11-29,North West,quantile,0.975,5
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.025,1
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.1,1
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.25,2
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.5,2
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.75,3
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.9,4
2025-11-22,wk inc covid hosp,2,2025-12-06,North West,quantile,0.975,6
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.025,1
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.1,1
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.25,1
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.5,2
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.75,3
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.9,4
2025-11-22,wk inc covid hosp,3,2025-12-13,North West,quantile,0.975,6
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.025,106
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.1,135
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.25,158
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.5,183
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.75,208
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.9,232
2025-11-22,wk inc covid hosp,-1,2025-11-15,Ontario,quantile,0.975,258
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.1,92
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.25,147
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.5,192
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.75,236
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.9,292
2025-11-22,wk inc covid hosp,0,2025-11-22,Ontario,quantile,0.975,384
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.1,90
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.25,149
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.5,207
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.75,273
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.9,368
2025-11-22,wk inc covid hosp,1,2025-11-29,Ontario,quantile,0.975,506
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.025,37
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.1,111
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.25,166
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.5,219
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.75,300
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.9,430
2025-11-22,wk inc covid hosp,2,2025-12-06,Ontario,quantile,0.975,670
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.025,20
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.1,112
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.25,173
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.5,245
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.75,345
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.9,524
2025-11-22,wk inc covid hosp,3,2025-12-13,Ontario,quantile,0.975,931
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.025,15
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.1,25
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.25,34
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.5,44
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.75,53
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.9,61
2025-11-22,wk inc covid hosp,-1,2025-11-15,Toronto,quantile,0.975,71
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.025,0
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.1,14
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.25,28
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.5,42
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.75,57
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.9,71
2025-11-22,wk inc covid hosp,0,2025-11-22,Toronto,quantile,0.975,90
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.025,0
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.1,11
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.25,25
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.5,37
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.75,53
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.9,70
2025-11-22,wk inc covid hosp,1,2025-11-29,Toronto,quantile,0.975,95
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.025,5
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.1,17
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.25,25
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.5,35
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.75,46
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.9,65
2025-11-22,wk inc covid hosp,2,2025-12-06,Toronto,quantile,0.975,98
2025-11-22,wk inc covid hosp,3,2025-12-13,Toronto,quantile,0.025,0
2025-11-22,wk inc covid hosp,3,2025-12-13,Toronto,quantile,0.1,16
2025-11-22,wk inc covid hosp,3,2025-12-13,Toronto,quantile,0.25,27
2025-11-22,wk inc covid hosp,3,2025-12-13,Toronto,quantile,0.5,37
2025-11-22,wk inc covid hosp,3,2025-12-13,Toronto,quantile,0.75,52
