reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.025,31
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.1,38
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.25,44
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.5,51
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.75,58
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.9,64
2026-03-07,wk inc covid hosp,-1,2026-02-28,Central,quantile,0.975,71
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.025,28
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.1,36
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.25,42
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.5,47
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.75,53
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.9,58
2026-03-07,wk inc covid hosp,0,2026-03-07,Central,quantile,0.975,65
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.025,31
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.1,36
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.25,41
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.5,46
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.75,51
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.9,56
2026-03-07,wk inc covid hosp,1,2026-03-14,Central,quantile,0.975,63
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.025,29
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.1,33
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.25,37
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.5,42
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.75,46
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.9,51
2026-03-07,wk inc covid hosp,2,2026-03-21,Central,quantile,0.975,58
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.025,28
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.1,35
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.25,40
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.5,46
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.75,52
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.9,58
2026-03-07,wk inc covid hosp,3,2026-03-28,Central,quantile,0.975,67
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.025,62
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.1,70
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.25,76
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.5,84
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.75,91
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.9,98
2026-03-07,wk inc covid hosp,-1,2026-02-28,East,quantile,0.975,105
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.025,51
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.1,65
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.25,74
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.5,83
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.75,92
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.9,100
2026-03-07,wk inc covid hosp,0,2026-03-07,East,quantile,0.975,111
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.025,49
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.1,62
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.25,71
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.5,80
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.75,88
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.9,97
2026-03-07,wk inc covid hosp,1,2026-03-14,East,quantile,0.975,108
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.025,58
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.1,66
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.25,72
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.5,80
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.75,88
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.9,98
2026-03-07,wk inc covid hosp,2,2026-03-21,East,quantile,0.975,111
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.025,52
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.1,60
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.25,67
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.5,74
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.75,83
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.9,91
2026-03-07,wk inc covid hosp,3,2026-03-28,East,quantile,0.975,109
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.025,7
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.1,10
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.25,13
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.5,17
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.75,20
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.9,23
2026-03-07,wk inc covid hosp,-1,2026-02-28,North East,quantile,0.975,27
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.025,10
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.1,12
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.25,15
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.5,17
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.75,19
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.9,22
2026-03-07,wk inc covid hosp,0,2026-03-07,North East,quantile,0.975,24
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.025,10
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.1,13
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.25,15
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.5,18
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.75,20
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.9,23
2026-03-07,wk inc covid hosp,1,2026-03-14,North East,quantile,0.975,26
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.025,9
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.1,11
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.25,14
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.5,16
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.75,19
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.9,20
2026-03-07,wk inc covid hosp,2,2026-03-21,North East,quantile,0.975,23
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.025,5
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.1,8
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.25,10
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.5,12
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.75,14
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.9,15
2026-03-07,wk inc covid hosp,3,2026-03-28,North East,quantile,0.975,18
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.025,0
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.1,0
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.25,0
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.5,2
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.75,4
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.9,6
2026-03-07,wk inc covid hosp,-1,2026-02-28,North West,quantile,0.975,8
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.025,0
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.1,0
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.25,1
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.5,2
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.75,3
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.9,4
2026-03-07,wk inc covid hosp,0,2026-03-07,North West,quantile,0.975,5
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.025,0
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.1,0
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.25,1
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.5,2
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.75,3
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.9,4
2026-03-07,wk inc covid hosp,1,2026-03-14,North West,quantile,0.975,5
2026-03-07,wk inc covid hosp,2,2026-03-21,North West,quantile,0.025,0
