reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.025,123
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.1,138
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.25,147
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.5,155
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.75,165
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.9,171
2024-11-30,wk inc covid hosp,-1,2024-11-23,East,quantile,0.975,188
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.025,118
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.1,126
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.25,135
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.5,147
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.75,158
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.9,173
2024-11-30,wk inc covid hosp,0,2024-11-30,East,quantile,0.975,186
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.025,82
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.1,111
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.25,123
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.5,137
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.75,151
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.9,166
2024-11-30,wk inc covid hosp,1,2024-12-07,East,quantile,0.975,175
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.025,83
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.1,98
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.25,111
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.5,131
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.75,148
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.9,161
2024-11-30,wk inc covid hosp,2,2024-12-14,East,quantile,0.975,173
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.025,0
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.1,85
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.25,105
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.5,121
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.75,135
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.9,149
2024-11-30,wk inc covid hosp,3,2024-12-21,East,quantile,0.975,161
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.025,31
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.1,36
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.25,41
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.5,45
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.75,53
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.9,58
2024-11-30,wk inc covid hosp,-1,2024-11-23,North East,quantile,0.975,65
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.025,22
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.1,33
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.25,38
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.5,46
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.75,55
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.9,59
2024-11-30,wk inc covid hosp,0,2024-11-30,North East,quantile,0.975,76
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.025,11
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.1,29
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.25,36
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.5,42
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.75,48
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.9,58
2024-11-30,wk inc covid hosp,1,2024-12-07,North East,quantile,0.975,66
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.025,1
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.1,24
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.25,33
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.5,39
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.75,47
2024-11-30,wk inc covid hosp,2,2024-12-14,North East,quantile,0.9,53
