"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.025,116
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.025,110
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.025,62
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.025,42
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.025,65
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.1,131
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.1,122
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.1,104
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.1,97
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.1,90
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.25,131
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.25,159
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.25,174
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.25,173
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.25,190
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.5,131
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.5,159
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.5,190
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.5,173
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.5,190
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.75,131
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.75,159
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.75,190
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.75,173
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.75,190
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.9,147
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.9,159
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.9,190
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.9,173
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.9,190
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"Central","quantile",0.975,184
2024-12-21,"wk inc covid hosp",0,2024-12-21,"Central","quantile",0.975,176
2024-12-21,"wk inc covid hosp",1,2024-12-28,"Central","quantile",0.975,190
2024-12-21,"wk inc covid hosp",2,2025-01-04,"Central","quantile",0.975,205
2024-12-21,"wk inc covid hosp",3,2025-01-11,"Central","quantile",0.975,230
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"East","quantile",0.025,123
2024-12-21,"wk inc covid hosp",0,2024-12-21,"East","quantile",0.025,110
2024-12-21,"wk inc covid hosp",1,2024-12-28,"East","quantile",0.025,57
2024-12-21,"wk inc covid hosp",2,2025-01-04,"East","quantile",0.025,28
2024-12-21,"wk inc covid hosp",3,2025-01-11,"East","quantile",0.025,68
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"East","quantile",0.1,132
2024-12-21,"wk inc covid hosp",0,2024-12-21,"East","quantile",0.1,126
2024-12-21,"wk inc covid hosp",1,2024-12-28,"East","quantile",0.1,103
2024-12-21,"wk inc covid hosp",2,2025-01-04,"East","quantile",0.1,87
2024-12-21,"wk inc covid hosp",3,2025-01-11,"East","quantile",0.1,83
2024-12-21,"wk inc covid hosp",-1,2024-12-14,"East","quantile",0.25,149
2024-12-21,"wk inc covid hosp",0,2024-12-21,"East","quantile",0.25,138
