"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.025,51
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.025,44
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.025,37
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.025,28
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.025,23
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.1,56
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.1,49
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.1,46
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.1,39
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.1,38
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.25,62
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.25,57
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.25,54
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.25,49
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.25,46
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.5,66
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.5,70
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.5,70
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.5,67
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.5,61
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.75,76
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.75,85
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.75,91
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.75,98
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.75,111
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.9,82
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.9,102
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.9,113
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.9,140
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.9,170
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"Central","quantile",0.975,89
2025-03-22,"wk inc covid hosp",0,2025-03-22,"Central","quantile",0.975,148
2025-03-22,"wk inc covid hosp",1,2025-03-29,"Central","quantile",0.975,186
2025-03-22,"wk inc covid hosp",2,2025-04-05,"Central","quantile",0.975,160
2025-03-22,"wk inc covid hosp",3,2025-04-12,"Central","quantile",0.975,316
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.025,42
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.025,36
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.025,30
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.025,26
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.025,24
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.1,46
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.1,40
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.1,36
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.1,34
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.1,31
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.25,50
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.25,47
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.25,44
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.25,41
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.25,37
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.5,57
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.5,59
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.5,57
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.5,57
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.5,53
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.75,63
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.75,73
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.75,85
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.75,90
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.75,107
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.9,73
2025-03-22,"wk inc covid hosp",0,2025-03-22,"East","quantile",0.9,88
2025-03-22,"wk inc covid hosp",1,2025-03-29,"East","quantile",0.9,93
2025-03-22,"wk inc covid hosp",2,2025-04-05,"East","quantile",0.9,119
2025-03-22,"wk inc covid hosp",3,2025-04-12,"East","quantile",0.9,142
2025-03-22,"wk inc covid hosp",-1,2025-03-15,"East","quantile",0.975,88
