reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.025,47
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.1,48
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.25,48
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.5,50
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.75,52
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.9,52
2026-03-28,wk inc covid hosp,-1,2026-03-21,Central,quantile,0.975,53
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.025,39
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.1,43
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.25,46
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.5,50
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.75,56
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.9,61
2026-03-28,wk inc covid hosp,0,2026-03-28,Central,quantile,0.975,67
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.025,35
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.1,40
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.25,45
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.5,51
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.75,59
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.9,66
2026-03-28,wk inc covid hosp,1,2026-04-04,Central,quantile,0.975,74
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.025,30
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.1,37
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.25,43
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.5,51
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.75,62
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.9,71
2026-03-28,wk inc covid hosp,2,2026-04-11,Central,quantile,0.975,82
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.025,25
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.1,34
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.25,42
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.5,51
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.75,64
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.9,76
2026-03-28,wk inc covid hosp,3,2026-04-18,Central,quantile,0.975,89
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.025,66
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.1,67
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.25,68
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.5,70
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.75,72
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.9,73
2026-03-28,wk inc covid hosp,-1,2026-03-21,East,quantile,0.975,74
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.025,54
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.1,60
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.25,66
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.5,73
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.75,83
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.9,92
2026-03-28,wk inc covid hosp,0,2026-03-28,East,quantile,0.975,102
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.025,47
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.1,57
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.25,65
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.5,76
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.75,91
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.9,104
2026-03-28,wk inc covid hosp,1,2026-04-04,East,quantile,0.975,119
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.025,39
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.1,52
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.25,64
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.5,77
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.75,97
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.9,114
2026-03-28,wk inc covid hosp,2,2026-04-11,East,quantile,0.975,134
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.025,30
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.1,47
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.25,61
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.5,78
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.75,103
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.9,125
2026-03-28,wk inc covid hosp,3,2026-04-18,East,quantile,0.975,149
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.025,8
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.1,9
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.25,9
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.5,10
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.75,11
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.9,11
2026-03-28,wk inc covid hosp,-1,2026-03-21,North East,quantile,0.975,12
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.025,3
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.1,5
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.25,7
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.5,10
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.75,11
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.9,12
2026-03-28,wk inc covid hosp,0,2026-03-28,North East,quantile,0.975,14
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.025,1
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.1,4
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.25,6
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.5,10
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.75,12
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.9,13
2026-03-28,wk inc covid hosp,1,2026-04-04,North East,quantile,0.975,15
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.025,0
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.1,2
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.25,5
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.5,9
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.75,12
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.9,14
2026-03-28,wk inc covid hosp,2,2026-04-11,North East,quantile,0.975,16
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.025,0
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.1,0
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.25,4
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.5,9
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.75,12
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.9,14
2026-03-28,wk inc covid hosp,3,2026-04-18,North East,quantile,0.975,17
2026-03-28,wk inc covid hosp,-1,2026-03-21,North West,quantile,0.025,0
2026-03-28,wk inc covid hosp,-1,2026-03-21,North West,quantile,0.1,0
