"reference_date","target","horizon","location","target_end_date","output_type","output_type_id","value"
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.025,0
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.1,0
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.25,0
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.5,30
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.75,61
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.9,77
"2025-05-03","wk inc covid hosp",-1,"Central","2025-04-26","quantile",0.975,83
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.025,0
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.1,0
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.25,0
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.5,26
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.75,56
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.9,71
"2025-05-03","wk inc covid hosp",0,"Central","2025-05-03","quantile",0.975,78
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.025,0
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.1,0
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.25,0
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.5,25
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.75,58
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.9,74
"2025-05-03","wk inc covid hosp",1,"Central","2025-05-10","quantile",0.975,81
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.025,0
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.1,0
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.25,0
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.5,18
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.75,51
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.9,67
"2025-05-03","wk inc covid hosp",2,"Central","2025-05-17","quantile",0.975,73
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.025,0
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.1,0
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.25,0
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.5,13
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.75,47
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.9,63
"2025-05-03","wk inc covid hosp",3,"Central","2025-05-24","quantile",0.975,70
"2025-05-03","wk inc flu hosp",-1,"Central","2025-04-26","quantile",0.025,0
"2025-05-03","wk inc flu hosp",-1,"Central","2025-04-26","quantile",0.1,0
"2025-05-03","wk inc flu hosp",-1,"Central","2025-04-26","quantile",0.25,6
"2025-05-03","wk inc flu hosp",-1,"Central","2025-04-26","quantile",0.5,35
