reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.025,0
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.1,0
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.25,0
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.5,50
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.75,196
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.9,270
2026-02-14,wk inc covid hosp,-1,Central,2026-02-07,quantile,0.975,301
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.025,0
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.1,0
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.25,0
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.5,15
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.75,165
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.9,240
2026-02-14,wk inc covid hosp,0,Central,2026-02-14,quantile,0.975,271
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.025,0
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.1,0
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.25,0
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.5,13
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.75,165
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.9,240
2026-02-14,wk inc covid hosp,1,Central,2026-02-21,quantile,0.975,272
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.025,0
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.1,0
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.25,0
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.5,0
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.75,140
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.9,217
2026-02-14,wk inc covid hosp,2,Central,2026-02-28,quantile,0.975,249
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.025,0
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.1,0
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.25,0
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.5,0
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.75,121
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.9,195
2026-02-14,wk inc covid hosp,3,Central,2026-03-07,quantile,0.975,226
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.025,0
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.1,1
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.25,6
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.5,16
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.75,27
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.9,32
2026-02-14,wk inc flu hosp,-1,Central,2026-02-07,quantile,0.975,34
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.025,0
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.1,2
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.25,7
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.5,18
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.75,29
2026-02-14,wk inc flu hosp,0,Central,2026-02-14,quantile,0.9,34
