reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.025,835
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.1,845
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.25,891
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.5,894
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.75,953
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.9,1004
26-10-2024,wk inc covid hosp,-1,Ontario,19-10-2024,quantile,0.975,1140
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.025,811
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.1,821
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.25,867
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.5,870
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.75,929
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.9,980
26-10-2024,wk inc covid hosp,0,Ontario,26-10-2024,quantile,0.975,1116
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.025,835
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.1,845
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.25,891
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.5,894
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.75,953
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.9,1004
26-10-2024,wk inc covid hosp,1,Ontario,02-11-2024,quantile,0.975,1140
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.025,934
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.1,944
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.25,990
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.5,993
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.75,1052
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.9,1103
26-10-2024,wk inc covid hosp,2,Ontario,09-11-2024,quantile,0.975,1239
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.025,780
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.1,790
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.25,836
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.5,839
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.75,898
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.9,949
26-10-2024,wk inc covid hosp,3,Ontario,16-11-2024,quantile,0.975,1085
