reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.025,112
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.1,121
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.25,131
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.5,138
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.75,161
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.9,197
2024-11-23,wk inc covid hosp,-1,2024-11-16,Central,quantile,0.975,197
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.025,43
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.1,43
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.25,43
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.5,43
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.75,138
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.9,158
2024-11-23,wk inc covid hosp,-1,2024-11-16,East,quantile,0.975,158
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.025,48
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.1,52
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.25,54
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.5,62
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.75,70
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.9,70
2024-11-23,wk inc covid hosp,-1,2024-11-16,North East,quantile,0.975,80
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.025,10
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.1,17
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.25,19
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.5,21
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.75,21
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.9,23
2024-11-23,wk inc covid hosp,-1,2024-11-16,North West,quantile,0.975,24
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.025,647
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.1,647
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.25,647
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.5,722
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.75,722
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.9,827
2024-11-23,wk inc covid hosp,-1,2024-11-16,Ontario,quantile,0.975,953
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.025,102
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.1,116
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.25,126
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.5,136
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.75,150
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.9,166
2024-11-23,wk inc covid hosp,-1,2024-11-16,Toronto,quantile,0.975,178
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.025,190
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.1,212
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.25,231
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.5,251
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.75,251
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.9,261
2024-11-23,wk inc covid hosp,-1,2024-11-16,West,quantile,0.975,281
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.025,95
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.1,115
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.25,120
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.5,156
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.75,172
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.9,185
2024-11-23,wk inc covid hosp,0,2024-11-23,Central,quantile,0.975,192
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.025,22
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.1,22
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.25,22
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.5,22
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.75,133
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.9,147
2024-11-23,wk inc covid hosp,0,2024-11-23,East,quantile,0.975,160
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.025,41
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.1,49
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.25,54
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.5,64
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.75,70
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.9,77
2024-11-23,wk inc covid hosp,0,2024-11-23,North East,quantile,0.975,81
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.025,7
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.1,16
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.25,18
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.5,20
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.75,24
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.9,30
2024-11-23,wk inc covid hosp,0,2024-11-23,North West,quantile,0.975,30
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.025,560
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.1,560
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.25,560
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.5,668
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.75,668
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.9,853
2024-11-23,wk inc covid hosp,0,2024-11-23,Ontario,quantile,0.975,974
2024-11-23,wk inc covid hosp,0,2024-11-23,Toronto,quantile,0.025,92
2024-11-23,wk inc covid hosp,0,2024-11-23,Toronto,quantile,0.1,108
2024-11-23,wk inc covid hosp,0,2024-11-23,Toronto,quantile,0.25,115
