time,geo_value,geo_type,covid,flu,rsv
2026-01-24,Central,OH Region,60,36,34
2026-01-24,East,OH Region,74,51,42
2026-01-24,North East,OH Region,19,16,5
2026-01-24,North West,OH Region,1,6,0
2026-01-24,Ontario,Province,325,200,185
2026-01-24,Toronto,OH Region,69,56,67
2026-01-24,West,OH Region,104,35,36
2026-01-17,Central,OH Region,50,71,31
2026-01-17,East,OH Region,79,110,38
2026-01-17,North East,OH Region,11,22,3
2026-01-17,North West,OH Region,1,16,0
2026-01-17,Ontario,Province,326,415,171
2026-01-17,Toronto,OH Region,66,108,65
2026-01-17,West,OH Region,116,84,32
2026-01-10,Central,OH Region,55,165,32
2026-01-10,East,OH Region,73,187,42
2026-01-10,North East,OH Region,18,46,5
2026-01-10,North West,OH Region,10,30,0
2026-01-10,Ontario,Province,356,789,183
2026-01-10,Toronto,OH Region,62,170,68
2026-01-10,West,OH Region,139,183,36
2026-01-03,Central,OH Region,48,309,22
2026-01-03,East,OH Region,72,243,40
2026-01-03,North East,OH Region,20,85,4
2026-01-03,North West,OH Region,5,33,0
2026-01-03,Ontario,Province,346,1284,152
2026-01-03,Toronto,OH Region,80,292,57
2026-01-03,West,OH Region,124,328,28
2025-12-27,Central,OH Region,44,330,18
2025-12-27,East,OH Region,52,211,24
2025-12-27,North East,OH Region,15,89,5
2025-12-27,North West,OH Region,6,18,0
2025-12-27,Ontario,Province,296,1328,110
2025-12-27,Toronto,OH Region,84,307,40
2025-12-27,West,OH Region,100,366,21
2025-12-20,Central,OH Region,47,283,17
2025-12-20,East,OH Region,43,180,27
2025-12-20,North East,OH Region,24,75,4
2025-12-20,North West,OH Region,2,9,0
2025-12-20,Ontario,Province,309,1125,95
2025-12-20,Toronto,OH Region,86,256,31
2025-12-20,West,OH Region,104,313,14
2025-12-13,Central,OH Region,47,184,13
2025-12-13,East,OH Region,54,120,16
2025-12-13,North East,OH Region,16,47,0
2025-12-13,North West,OH Region,3,6,0
2025-12-13,Ontario,Province,297,743,67
2025-12-13,Toronto,OH Region,76,163,21
2025-12-13,West,OH Region,98,221,14
2025-12-06,Central,OH Region,57,108,11
2025-12-06,East,OH Region,59,46,14
2025-12-06,North East,OH Region,13,16,1
2025-12-06,North West,OH Region,3,4,0
2025-12-06,Ontario,Province,301,385,54
2025-12-06,Toronto,OH Region,60,67,16
2025-12-06,West,OH Region,109,143,9
2025-11-29,Central,OH Region,44,63,9
2025-11-29,East,OH Region,40,22,11
2025-11-29,North East,OH Region,15,4,1
2025-11-29,North West,OH Region,3,1,0
2025-11-29,Ontario,Province,249,224,45
2025-11-29,Toronto,OH Region,60,33,13
2025-11-29,West,OH Region,86,100,8
2025-11-22,Central,OH Region,39,35,4
2025-11-22,East,OH Region,39,5,7
